Year,Global_Market_Return,Inflation_Rate,Cash_Yield
1970,0.040,0.057,0.065
1971,0.143,0.044,0.043
1972,0.190,0.032,0.041
1973,-0.147,0.062,0.070
1974,-0.265,0.110,0.079
1975,0.372,0.091,0.058
1976,0.238,0.058,0.050
1977,-0.070,0.065,0.053
1978,0.065,0.076,0.072
1979,0.185,0.113,0.100
1980,0.317,0.135,0.115
1981,-0.047,0.103,0.140
1982,0.204,0.062,0.107
1983,0.223,0.032,0.086
1984,0.061,0.043,0.096
1985,0.316,0.036,0.075
1986,0.186,0.019,0.060
1987,0.052,0.036,0.058
1988,0.166,0.041,0.067
1989,0.317,0.048,0.081
1990,-0.031,0.054,0.075
1991,0.305,0.042,0.054
1992,0.076,0.030,0.035
1993,0.101,0.030,0.030
1994,0.013,0.026,0.043
1995,0.376,0.028,0.055
1996,0.230,0.030,0.050
1997,0.334,0.023,0.051
1998,0.286,0.016,0.048
1999,0.210,0.022,0.046
2000,-0.091,0.034,0.059
2001,-0.119,0.028,0.034
2002,-0.221,0.016,0.016
2003,0.287,0.023,0.010
2004,0.109,0.027,0.014
2005,0.049,0.034,0.031
2006,0.158,0.032,0.047
2007,0.055,0.029,0.044
2008,-0.370,0.038,0.014
2009,0.265,-0.004,0.002
2010,0.151,0.016,0.001
2011,0.021,0.032,0.001
2012,0.160,0.021,0.001
2013,0.324,0.015,0.001
2014,0.137,0.016,0.000
2015,0.014,0.001,0.001
2016,0.120,0.013,0.003
2017,0.218,0.021,0.009
2018,-0.044,0.024,0.019
2019,0.315,0.018,0.021
2020,0.184,0.012,0.004
2021,0.287,0.047,0.000
2022,-0.181,0.080,0.020
2023,0.263,0.041,0.050
2024,0.250,0.029,0.052
